Base Query,Rewritten 1,Rewritten 2,Rewritten 3,Điều,Chương,Trả lời
"Khi chở trẻ em dưới 10 tuổi trên ô tô, người lái xe cần tuân thủ những quy định nào?",Có quy định gì khi chở trẻ em dưới 10 tuổi trên xe ô tô không?,Người lái xe phải làm gì để đảm bảo an toàn cho trẻ em khi di chuyển bằng ô tô?,"Khi chở trẻ nhỏ trên ô tô, vị trí ngồi của trẻ em có bị hạn chế không?",10,2,"Khi chở trẻ em dưới 10 tuổi và chiều cao dưới 1,35 mét trên ô tô, không được cho trẻ ngồi cùng hàng ghế với người lái xe (trừ trường hợp xe chỉ có một hàng ghế). Người lái xe phải sử dụng và hướng dẫn trẻ em sử dụng thiết bị an toàn phù hợp."
Báo hiệu đường bộ bao gồm những loại nào?,Có những loại báo hiệu nào trong giao thông đường bộ?,"Khi tham gia giao thông, người đi đường cần chú ý đến những loại báo hiệu nào?",Báo hiệu giao thông trên đường bộ được chia thành mấy loại?,11,2,"Báo hiệu đường bộ bao gồm: hiệu lệnh của người điều khiển giao thông, đèn tín hiệu giao thông, biển báo hiệu đường bộ, vạch kẻ đường và các dấu hiệu khác trên mặt đường, cọc tiêu, tường bảo vệ, rào chắn, đinh phản quang, tiêu phản quang, cột Km, cọc H, thiết bị âm thanh báo hiệu đường bộ."
Người tham gia giao thông phải tuân thủ thứ tự ưu tiên của các báo hiệu như thế nào?,"Khi gặp nhiều loại báo hiệu cùng lúc, người tham gia giao thông phải chấp hành theo thứ tự nào?","Nếu biển báo và đèn tín hiệu có mâu thuẫn, người đi đường phải tuân theo báo hiệu nào trước?",Thứ tự ưu tiên khi chấp hành báo hiệu giao thông là gì?,11,2,"Người tham gia giao thông phải chấp hành báo hiệu theo thứ tự ưu tiên từ trên xuống dưới như sau:

Hiệu lệnh của người điều khiển giao thông
Tín hiệu đèn giao thông
Biển báo hiệu đường bộ
Vạch kẻ đường và các dấu hiệu khác trên mặt đường
Cọc tiêu, tường bảo vệ, rào chắn, đinh phản quang, tiêu phản quang, cột Km, cọc H
Thiết bị âm thanh báo hiệu đường bộ"
Hiệu lệnh của người điều khiển giao thông được quy định như thế nào?,Người điều khiển giao thông ra hiệu lệnh như thế nào?,"Khi thấy cảnh sát giao thông ra hiệu lệnh, người tham gia giao thông cần hiểu ra sao?",Hiệu lệnh của người điều khiển giao thông có ý nghĩa gì?,11,2,"Hiệu lệnh của người điều khiển giao thông được quy định như sau:

Tay bên phải giơ thẳng đứng: Tất cả các hướng phải dừng lại.
Hai tay hoặc một tay dang ngang: Người tham gia giao thông ở phía trước và phía sau phải dừng, phía bên phải và bên trái được đi.
Tay bên phải giơ về phía trước: Người ở phía sau và bên phải phải dừng, người phía trước được rẽ phải, người phía bên trái được đi mọi hướng; người đi bộ phải đi sau lưng người điều khiển giao thông."
Đèn tín hiệu giao thông có mấy màu và ý nghĩa của từng màu là gì?,"Khi tham gia giao thông, đèn xanh, vàng, đỏ có ý nghĩa gì?",Các màu đèn giao thông biểu thị điều gì?,Người đi đường phải làm gì khi đèn tín hiệu chuyển màu?,11,2,"Đèn tín hiệu giao thông có 3 màu:

Xanh: Được đi; phải nhường đường cho người đi bộ, xe lăn đang di chuyển.
Vàng: Phải dừng trước vạch dừng; nếu đã vượt vạch được đi tiếp; đèn vàng nhấp nháy thì đi chậm, quan sát.
Đỏ: Cấm đi."
Biển báo hiệu đường bộ được phân thành những loại nào và chức năng của từng loại?,Biển báo hiệu đường bộ được phân thành những loại nào và chức năng của từng loại?,Biển báo giao thông được chia làm mấy loại?,Người tham gia giao thông cần hiểu các loại biển báo như thế nào?,11,2,"Biển báo hiệu đường bộ gồm:

Biển báo cấm: Thể hiện các điều cấm.
Biển báo nguy hiểm: Cảnh báo nguy hiểm.
Biển hiệu lệnh: Thể hiện lệnh phải thi hành.
Biển chỉ dẫn: Chỉ hướng đi và thông tin cần biết.
Biển phụ: Thuyết minh bổ sung cho các biển khác."
Vạch kẻ đường có tác dụng gì trong giao thông?,Vạch kẻ đường giúp người tham gia giao thông như thế nào?,Vai trò của vạch kẻ đường là gì?,"Khi lái xe, người điều khiển phải chú ý gì đến vạch kẻ đường?",11,2,"Vạch kẻ đường phân chia làn đường, xác định vị trí, hướng đi, và vị trí dừng cho phương tiện."
"Cọc tiêu, tường bảo vệ, rào chắn và các thiết bị khác giúp gì cho người tham gia giao thông?",Tại sao cần lắp cọc tiêu và tường bảo vệ trên đường?,Rào chắn và cọc tiêu có tác dụng gì khi tham gia giao thông?,Các thiết bị hỗ trợ an toàn trên đường có vai trò ra sao?,11,2,"Cọc tiêu, tường bảo vệ giúp người tham gia giao thông xác định phạm vi an toàn và hướng đi; rào chắn ngăn cản người, phương tiện di chuyển vào khu vực cấm."
Người tham gia giao thông phải làm gì khi gặp biển báo cố định và biển báo tạm thời có mâu thuẫn?,"Nếu gặp biển báo tạm thời và cố định khác nhau, người đi đường nên tuân theo biển nào?","Khi biển báo tạm thời và biển cố định không giống nhau, xử lý thế nào?","Trường hợp biển báo có sự mâu thuẫn, người tham gia giao thông cần tuân theo đâu?",11,2,Người tham gia giao thông phải chấp hành biển báo hiệu tạm thời.
Thiết bị âm thanh báo hiệu đường bộ có chức năng gì?,"Khi nghe thấy âm thanh cảnh báo trên đường, người đi đường cần làm gì?",Thiết bị âm thanh hỗ trợ giao thông giúp gì cho người tham gia?,Âm thanh báo hiệu trên đường có ý nghĩa ra sao?,11,2,Thiết bị âm thanh giúp cảnh báo nguy hiểm cho người tham gia giao thông.
Cột Km và cọc H trên đường giúp người đi đường nắm được thông tin gì?,Cột Km và cọc H có ý nghĩa gì khi di chuyển trên đường?,Tại sao cột Km và cọc H lại được đặt dọc theo tuyến đường?,Người lái xe cần chú ý gì đến cột Km và cọc H?,11,2,"Chúng cung cấp thông tin về vị trí, khoảng cách và các dữ liệu liên quan đến đường bộ."
Người lái xe cần tuân thủ quy định gì về tốc độ và khoảng cách khi tham gia giao thông?,"Khi tham gia giao thông, người điều khiển phương tiện phải chú ý điều gì về tốc độ và khoảng cách?",Quy định về tốc độ và khoảng cách an toàn giữa các xe được áp dụng như thế nào?,Người lái xe phải đảm bảo tốc độ và khoảng cách ra sao khi lưu thông?,12,2,Người lái xe và người điều khiển xe máy chuyên dùng phải tuân thủ quy định về tốc độ và giữ khoảng cách an toàn tối thiểu với xe phía trước cùng làn hoặc phần đường.
Người điều khiển phương tiện cần điều chỉnh tốc độ như thế nào để đảm bảo an toàn?,Khi nào người lái xe cần giảm tốc độ để đảm bảo an toàn?,Người tham gia giao thông phải chú ý điều gì về tốc độ phù hợp?,Trong điều kiện nào người lái xe cần điều chỉnh tốc độ?,12,2,"Người điều khiển phương tiện phải điều chỉnh tốc độ phù hợp với điều kiện cầu, đường, mật độ giao thông, địa hình, thời tiết và các yếu tố khác để đảm bảo an toàn."
"Khi gặp người đi bộ qua đường, người điều khiển phương tiện cần làm gì?",Người lái xe cần xử lý thế nào khi gặp người đi bộ qua đường?,"Nếu thấy người đi bộ hoặc xe lăn đang qua đường, người điều khiển phương tiện phải làm gì?","Trong tình huống người đi bộ đang sang đường, người điều khiển xe cần chú ý gì?",12,2,"Người điều khiển phương tiện phải quan sát, giảm tốc độ hoặc dừng lại khi gặp người đi bộ, xe lăn của người khuyết tật đang qua đường hoặc tại nơi có vạch kẻ đường dành cho người đi bộ."
"Khi gặp chướng ngại vật hoặc biển báo nguy hiểm trên đường, người lái xe cần xử lý thế nào?",Người điều khiển phương tiện nên làm gì khi có vật cản hoặc biển cảnh báo?,"Nếu gặp báo hiệu nguy hiểm trên đường, người lái xe cần chú ý gì?","Khi phát hiện chướng ngại vật phía trước, tài xế phải ứng phó ra sao?",12,2,"Người lái xe phải quan sát, giảm tốc độ hoặc dừng lại để đảm bảo an toàn khi gặp biển cảnh báo nguy hiểm hoặc chướng ngại vật trên đường."
"Người lái xe cần chú ý điều gì khi đi qua khu vực trường học, bệnh viện, chợ hay nơi đông dân cư?","Khi di chuyển gần trường học, bệnh viện, người lái xe cần làm gì?","Trong khu vực đông người, tài xế phải điều chỉnh tốc độ ra sao?",Người điều khiển phương tiện cần chú ý điều gì khi đi qua khu dân cư?,12,2,"Người điều khiển phương tiện phải giảm tốc độ, quan sát kỹ và dừng lại khi cần thiết khi đi qua khu vực trường học, bệnh viện, chợ, nơi đông dân cư hoặc công trình công cộng."
"Người lái xe cần làm gì khi gặp xe vận chuyển hàng siêu trường, siêu trọng hoặc đoàn người đi bộ?","Khi thấy xe chở hàng nguy hiểm hoặc đoàn người đi bộ, tài xế phải xử lý thế nào?","Người điều khiển phương tiện phải làm gì khi gặp xe siêu trường, siêu trọng?","Trong trường hợp gặp đoàn người đi bộ, người lái xe nên chú ý điều gì?",12,2,"Người lái xe cần giảm tốc độ, giữ khoảng cách an toàn và nhường đường khi gặp xe vận chuyển hàng siêu trường, siêu trọng, hàng hóa nguy hiểm hoặc đoàn người đi bộ."
"Khi thời tiết xấu như mưa, sương mù hoặc mặt đường trơn trượt, người điều khiển xe cần làm gì?","Trong điều kiện thời tiết bất lợi, người lái xe nên xử lý ra sao?","Mặt đường trơn trượt hoặc có sương mù, người tham gia giao thông cần chú ý gì?","Khi lái xe trời mưa hoặc có bụi, người điều khiển phải làm gì?",12,2,"Người điều khiển phương tiện phải giảm tốc độ, quan sát kỹ và giữ khoảng cách an toàn khi gặp mưa, gió, sương, bụi hoặc đường trơn trượt, lầy lội."
Người lái xe cần chú ý gì khi đi qua nơi đường giao nhau hoặc đường sắt?,"Khi tới giao lộ hoặc nơi giao với đường sắt, người lái xe nên làm gì?",Tài xế phải xử lý ra sao khi tới đoạn đường giao nhau?,Người điều khiển phương tiện cần làm gì khi băng qua đường sắt?,12,2,"Người lái xe phải quan sát, giảm tốc độ và dừng lại khi cần thiết tại nơi đường bộ giao nhau, đường sắt hoặc các vị trí có tầm nhìn bị hạn chế."
Người điều khiển phương tiện cần làm gì khi xe phía sau xin vượt?,"Khi có xe xin vượt từ phía sau, người lái xe phải xử lý thế nào?","Nếu xe phía sau phát tín hiệu vượt, tài xế nên làm gì?",Người tham gia giao thông cần chú ý gì khi bị xe khác xin đường?,12,2,"Người lái xe cần giảm tốc độ, giữ khoảng cách và tạo điều kiện cho xe phía sau vượt an toàn."
"Trong khu vực kiểm soát giao thông hoặc đang xử lý tai nạn, người tham gia giao thông cần chú ý điều gì?","Khi gặp lực lượng chức năng kiểm soát giao thông, người lái xe phải làm gì?","Nếu đang đi vào khu vực xử lý tai nạn, tài xế nên chú ý điều gì?",Người điều khiển phương tiện cần ứng xử ra sao tại hiện trường tai nạn?,12,2,"Người điều khiển phương tiện phải giảm tốc độ, tuân thủ hướng dẫn của lực lượng chức năng và đảm bảo an toàn khi đi qua khu vực kiểm soát giao thông hoặc hiện trường tai nạn."
Phương tiện di chuyển với tốc độ chậm phải đi như thế nào để đảm bảo an toàn?,Xe đi chậm cần tuân thủ quy tắc gì khi tham gia giao thông?,Người lái xe tốc độ thấp nên di chuyển ra sao trên đường?,Phương tiện chạy chậm phải đi ở vị trí nào trên đường?,13,2,Phương tiện di chuyển với tốc độ thấp hơn phải đi về bên phải theo chiều đi của mình để đảm bảo an toàn và không cản trở giao thông.
Khi nào người lái xe được phép chuyển làn đường?,Người điều khiển phương tiện cần lưu ý gì khi chuyển làn đường?,Việc chuyển làn xe được thực hiện như thế nào cho đúng quy định?,"Khi muốn đổi làn đường, tài xế phải tuân thủ quy tắc gì?",13,2,"Người điều khiển phương tiện chỉ được chuyển làn ở những nơi cho phép, mỗi lần chuyển sang một làn liền kề, phải bật tín hiệu báo trước và quan sát để đảm bảo khoảng cách an toàn với các xe xung quanh."
Xe thô sơ và xe cơ giới phải đi ở làn đường nào trên một chiều đường có vạch phân làn?,"Khi đường có phân làn, xe đạp và xe máy đi ở làn nào?",Xe thô sơ và xe cơ giới cần tuân thủ quy định gì về làn đường?,"Trên đường có vạch kẻ làn, người điều khiển xe phải di chuyển ở đâu?",13,2,"Trên một chiều đường có vạch kẻ phân làn, xe thô sơ phải đi trên làn đường bên phải trong cùng, còn xe cơ giới và xe máy chuyên dùng đi trên làn bên trái."
Có được đi sai làn đường dành riêng cho một loại phương tiện không?,Người lái xe có thể đi vào làn dành cho phương tiện khác không?,"Khi thấy làn đường dành riêng, người điều khiển xe phải làm gì?",Việc đi vào làn không đúng với loại phương tiện có được phép không?,13,2,Không. Người điều khiển phương tiện không được đi vào làn đường dành riêng cho loại phương tiện khác hoặc nhóm phương tiện khác.
Vượt xe được thực hiện như thế nào trên đường có một làn xe cơ giới?,Người lái xe cần làm gì khi muốn vượt xe trên đường một làn?,"Trên đường chỉ có một làn cho xe cơ giới, vượt xe ra sao mới đúng quy định?",Khi nào người điều khiển xe được phép vượt trên đường một làn?,14,2,"Trên đường mỗi chiều chỉ có một làn dành cho xe cơ giới, xe muốn vượt phải di chuyển sang bên trái để vượt lên trước xe phía trước."
Xe xin vượt phải đáp ứng những điều kiện nào để được phép vượt?,Khi nào xe đi sau mới được phép vượt?,Xe muốn vượt cần đảm bảo điều kiện gì để an toàn?,Người lái xe cần chú ý gì trước khi vượt?,14,2,"Xe xin vượt chỉ được vượt khi phía trước không có chướng ngại vật, không có xe chạy ngược chiều ở đoạn đường định vượt, xe trước không có tín hiệu xin vượt, đã bật xi-nhan phải và tránh sang bên phải."
Người điều khiển xe phía trước phải làm gì khi có xe xin vượt?,"Khi có xe xin vượt, xe phía trước cần ứng xử thế nào?",Người lái xe đi trước nên phản ứng ra sao khi bị xin vượt?,Xe trước phải làm gì để hỗ trợ xe sau vượt an toàn?,14,2,"Người điều khiển xe phía trước phải quan sát, nếu đủ an toàn thì giảm tốc độ, bật xi-nhan phải và đi sát lề phải để nhường đường. Nếu không an toàn, phải bật xi-nhan trái báo hiệu cho xe sau biết không được vượt."
Trong trường hợp nào xe được phép vượt bên phải?,Khi nào người lái xe được vượt xe phía trước từ bên phải?,"Có được phép vượt bên phải không? Nếu có, trong trường hợp nào?",Vượt bên phải có hợp pháp không? Khi nào được thực hiện?,14,2,"Xe chỉ được phép vượt bên phải khi xe phía trước bật tín hiệu rẽ trái, đang rẽ trái hoặc khi gặp xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái."
Xe xin vượt cần báo hiệu như thế nào?,"Khi vượt xe, tài xế phải sử dụng tín hiệu gì?",Xe muốn vượt cần dùng loại báo hiệu nào?,Có quy định gì về tín hiệu khi xin vượt?,14,2,"Xe xin vượt phải bật đèn chiếu sáng nhấp nháy hoặc còi (trừ xe thô sơ không có thiết bị này). Trong đô thị từ 22h đến 5h, chỉ được dùng đèn để xin vượt."
Những trường hợp nào người lái xe không được phép vượt?,Khi nào việc vượt xe bị cấm?,Người điều khiển xe không được vượt trong tình huống nào?,Vượt xe bị cấm khi gặp những điều kiện gì?,14,2,"Không được vượt khi:

Không đủ điều kiện an toàn;
Trên cầu hẹp một làn, đường cong, đỉnh dốc hạn chế tầm nhìn;
Ở nơi giao nhau, đường sắt, hầm;
Gặp xe ưu tiên, người đi bộ, xe lăn;
Đường trơn trượt, thời tiết xấu."
Chuyển hướng xe được hiểu như thế nào?,Khi nào một phương tiện được coi là đang chuyển hướng?,Chuyển hướng xe bao gồm những hành động nào?,Thế nào là hành động chuyển hướng khi tham gia giao thông?,15,2,"Chuyển hướng xe là khi người điều khiển xe thực hiện hành động rẽ trái, rẽ phải hoặc quay đầu xe."
Người lái xe cần làm gì trước khi chuyển hướng?,"Trước khi rẽ, người lái xe phải thực hiện những bước nào?",Có những quy tắc gì cần tuân thủ trước khi chuyển hướng?,"Để đảm bảo an toàn khi chuyển hướng, tài xế phải chú ý điều gì?",15,2,"Trước khi chuyển hướng, người điều khiển phương tiện phải quan sát, giữ khoảng cách an toàn với xe phía sau, giảm tốc độ, bật tín hiệu báo rẽ (hoặc ra hiệu bằng tay với xe thô sơ), chuyển dần sang làn gần hướng rẽ và chỉ thực hiện khi đã đảm bảo an toàn."
Người điều khiển xe phải nhường đường cho ai khi chuyển hướng?,"Khi rẽ, người lái xe cần ưu tiên cho những đối tượng nào?",Ai được quyền đi trước khi xe đang muốn chuyển hướng?,Người điều khiển xe cần lưu ý gì khi nhường đường lúc rẽ?,15,2,"Khi chuyển hướng, người điều khiển xe phải nhường đường cho người đi bộ, xe thô sơ, xe đi ngược chiều và chỉ rẽ khi không gây cản trở hay nguy hiểm cho người, phương tiện khác."
Trong những trường hợp nào không được quay đầu xe?,Khi nào người lái xe bị cấm quay đầu?,Có những vị trí nào không được phép quay đầu xe?,Người lái xe cần tránh quay đầu ở đâu để không vi phạm luật?,15,2,"Không được quay đầu xe tại:

Vạch dành cho người đi bộ;
Trên cầu, đầu cầu, gầm cầu vượt, ngầm;
Đường giao nhau với đường sắt;
Đường hẹp, đường dốc, đoạn cong khuất tầm nhìn;
Đường cao tốc, hầm đường bộ, đường một chiều (trừ khi có hiệu lệnh hoặc biển báo cho phép)."
Người điều khiển phương tiện cần chú ý những gì khi lùi xe để đảm bảo an toàn?,"Khi lùi xe, tài xế nên thực hiện những bước nào để tránh gây nguy hiểm?",Làm thế nào để đảm bảo an toàn cho bản thân và người xung quanh khi lùi xe?,Có những yếu tố quan trọng nào mà người lái xe phải chú ý đến khi lùi xe?,16,2,"Người điều khiển phương tiện cần quan sát kỹ hai bên và phía sau xe, bật tín hiệu lùi và chỉ thực hiện việc lùi xe khi chắc chắn rằng không gây nguy hiểm cho người khác hay phương tiện xung quanh."
Có những vị trí nào mà người lái xe không được phép lùi?,Người điều khiển phương tiện cần tránh lùi xe ở những nơi nào?,Những khu vực nào bị cấm khi thực hiện việc lùi xe?,"Khi muốn lùi xe, tài xế nên chú ý tránh những địa điểm nào?",16,2,"Người lái xe không được phép lùi ở các vị trí như: đường một chiều, khu vực cấm dừng, phần đường dành cho người đi bộ, nơi giao nhau giữa các con đường, khu vực giao cắt với đường sắt, nơi tầm nhìn bị che khuất, trong hầm đường bộ và trên đường cao tốc."
Vì sao việc quan sát xung quanh khi lùi xe lại quan trọng?,Việc kiểm tra hai bên và phía sau trước khi lùi xe có tác dụng gì?,Lý do gì khiến người lái xe cần quan sát cẩn thận khi lùi?,Tại sao người điều khiển phương tiện phải để ý xung quanh khi thực hiện lùi xe?,16,2,"Việc quan sát giúp người lái xe phát hiện các chướng ngại vật, người đi bộ hoặc phương tiện khác, từ đó tránh gây tai nạn và đảm bảo an toàn cho tất cả mọi người tham gia giao thông."
"Khi gặp xe đi ngược chiều trên đường không có dải phân cách, người lái xe cần làm gì để đảm bảo an toàn?","Khi di chuyển trên đường hai chiều không có dải phân cách, tài xế phải xử lý thế nào nếu gặp xe đi ngược chiều?",Người điều khiển phương tiện cần tuân thủ nguyên tắc nào khi tránh xe đi ngược chiều trên đường không phân làn riêng biệt?,Làm thế nào để đảm bảo an toàn khi đối diện với một xe khác trên đoạn đường không có vạch chia làn?,17,2,"Người điều khiển phương tiện cần giảm tốc độ, chủ động đi sát về bên phải theo chiều di chuyển của mình để tránh va chạm và đảm bảo an toàn cho cả hai bên."
Trong những trường hợp nào một xe phải nhường đường khi tránh xe ngược chiều?,"Khi tránh xe đi ngược chiều, trong hoàn cảnh nào tài xế cần nhường đường?",Có những nguyên tắc nào về nhường đường khi hai xe đi ngược chiều gặp nhau?,Tình huống nào buộc một xe phải dừng lại hoặc né tránh khi gặp xe đối diện?,17,2,"Tài xế cần nhường đường trong các trường hợp sau:

Nếu đường hẹp chỉ đủ cho một xe và có chỗ tránh, xe ở gần chỗ tránh hơn phải nhường đường.
Khi đi xuống dốc, xe xuống phải nhường đường cho xe lên dốc.
Nếu có chướng ngại vật phía trước, xe gặp chướng ngại vật phải nhường đường cho xe không bị cản trở."
Thế nào là dừng xe và khi dừng xe người lái cần tuân thủ những điều gì?,Khi nào được coi là dừng xe và tài xế phải chú ý điều gì khi dừng xe?,Người lái xe cần thực hiện những yêu cầu nào khi tạm dừng xe trên đường?,Dừng xe khác gì với việc đỗ xe và người điều khiển phương tiện cần lưu ý gì khi dừng xe?,18,2,"Dừng xe là trạng thái xe đứng yên tạm thời để cho người lên xuống xe, xếp dỡ hàng hoặc kiểm tra xe. Khi dừng xe, người lái không được tắt máy, không rời khỏi vị trí lái trừ khi cần đóng, mở cửa, xếp dỡ hàng hay kiểm tra xe, nhưng phải dùng phanh đỗ hoặc biện pháp an toàn khác."
Đỗ xe được hiểu như thế nào và người lái cần làm gì để đảm bảo an toàn khi đỗ xe?,Khi nào việc dừng xe được coi là đỗ xe và người lái cần lưu ý gì?,Người điều khiển phương tiện phải đảm bảo an toàn ra sao khi đỗ xe?,"Để tránh nguy hiểm, người lái cần thực hiện những biện pháp nào khi đỗ xe?",18,2,"Đỗ xe là trạng thái xe đứng yên không giới hạn thời gian. Người lái chỉ được rời khỏi xe sau khi đã kéo phanh tay hoặc dùng biện pháp an toàn khác. Nếu đỗ trên dốc, cần đánh lái về phía lề đường và chèn bánh để tránh trôi xe."
"Người điều khiển xe phải làm gì khi ra vào vị trí dừng, đỗ xe để không ảnh hưởng đến giao thông?","Khi dừng hoặc đỗ xe, tài xế cần tuân thủ những quy định nào để đảm bảo an toàn cho người khác?","Làm thế nào để không gây cản trở khi di chuyển vào hoặc ra khỏi vị trí dừng, đỗ xe?",Người lái xe cần báo hiệu ra sao khi muốn dừng hoặc đỗ xe?,18,2,"Người điều khiển phương tiện phải bật tín hiệu báo cho các phương tiện khác biết khi ra, vào vị trí dừng, đỗ và đảm bảo không làm ảnh hưởng đến người đi bộ hay các phương tiện khác."
Những vị trí nào người lái xe không được dừng hoặc đỗ xe?,"Có những nơi nào tài xế tuyệt đối không được phép dừng, đỗ xe?","Khi tham gia giao thông, người lái cần tránh dừng xe ở đâu?","Đâu là các khu vực cấm dừng, đỗ xe để đảm bảo an toàn giao thông?",18,2,"Người điều khiển phương tiện không được dừng, đỗ xe ở các vị trí như: bên trái đường một chiều, đoạn đường cong, đầu dốc bị che khuất, trên cầu, dưới gầm cầu vượt (trừ nơi cho phép), nơi giao nhau, điểm đón trả khách, trước cổng cơ quan, trên đường dành cho người đi bộ, trên làn xe buýt, nơi cản trở biển báo giao thông, hoặc nơi có thể gây nguy hiểm khác."
"Khi dừng hoặc đỗ xe trên đường bộ, người lái cần chú ý đến vị trí như thế nào?",Người lái xe nên chọn vị trí nào khi muốn dừng hoặc đỗ xe trên đường?,"Những nguyên tắc nào cần tuân thủ khi dừng, đỗ xe trên đường bộ?","Khi dừng xe trên đường không có lề, tài xế cần lưu ý điều gì?",18,2,"Khi dừng, đỗ xe, người điều khiển chỉ được dừng ở nơi có lề đường rộng hoặc khu đất bên ngoài làn xe chạy. Nếu không có lề, xe phải dừng sát mép đường bên phải theo chiều đi của mình để không gây cản trở giao thông."
"Người lái xe cần tuân thủ quy định gì khi dừng, đỗ xe trên đường phố?","Khi dừng, đỗ xe trong khu vực đô thị, tài xế phải chú ý gì?","Để đảm bảo an toàn trên đường phố, người lái xe cần dừng, đỗ ra sao?",Có quy định nào về khoảng cách khi dừng xe gần lề đường hoặc vỉa hè?,18,2,"Trên đường phố, xe phải dừng, đỗ sát lề hoặc vỉa hè bên phải theo chiều đi. Bánh xe gần nhất không được cách lề quá 0,25 mét và không gây cản trở cho người đi bộ hay phương tiện khác."
"Trong trường hợp xe gặp sự cố buộc phải dừng, đỗ tại nơi cấm, người lái cần làm gì?","Nếu xe bị hỏng ở nơi cấm dừng, đỗ, tài xế cần thực hiện biện pháp gì?","Khi không may phải dừng xe tại nơi không được phép, người điều khiển cần làm gì để cảnh báo?","Trong tình huống khẩn cấp buộc phải đỗ xe sai quy định, tài xế cần chú ý ra sao?",18,2,"Nếu buộc phải dừng, đỗ tại nơi cấm do sự cố, người lái phải bật đèn khẩn cấp hoặc đặt biển cảnh báo phía sau xe để báo hiệu cho các phương tiện khác biết, tránh gây tai nạn."
Khi nào người lái hoặc hành khách được phép mở cửa xe?,Trong trường hợp nào việc mở cửa xe mới được chấp nhận?,Người trên xe cần chú ý điều gì trước khi mở cửa?,Khi nào thì hành động mở cửa xe được coi là đúng quy định và an toàn?,19,2,"Chỉ được phép mở cửa xe khi xe đã dừng, đỗ hoàn toàn để đảm bảo an toàn cho bản thân và những người xung quanh."
Người mở cửa xe cần tuân thủ những nguyên tắc nào để đảm bảo an toàn?,"Trước khi mở cửa xe, người mở cửa cần làm gì để tránh gây nguy hiểm?",Làm thế nào để mở cửa xe an toàn mà không gây cản trở giao thông?,Người ngồi trong xe phải chú ý gì khi ra khỏi xe để đảm bảo an toàn cho bản thân và người khác?,19,2,"Trước khi mở cửa, người mở cửa phải quan sát kỹ phía trước, phía sau và bên mở cửa. Chỉ khi đảm bảo không có nguy hiểm từ các phương tiện khác hoặc người đi bộ mới được mở cửa và không được để cửa xe mở lâu nếu không an toàn."
Khi nào người lái xe cần bật đèn chiếu sáng phía trước?,Trong những trường hợp nào người điều khiển phương tiện phải sử dụng đèn chiếu sáng?,"Khi lái xe, thời điểm nào yêu cầu phải bật đèn pha hoặc đèn cốt?",Người lái xe cần làm gì để đảm bảo tầm nhìn khi di chuyển trong điều kiện thời tiết xấu hoặc ban đêm?,20,2,"Người điều khiển phương tiện phải bật đèn chiếu sáng phía trước từ 18 giờ hôm trước đến 06 giờ hôm sau hoặc khi có sương mù, khói, bụi, trời mưa hay thời tiết xấu làm hạn chế tầm nhìn."
"Khi gặp người đi bộ qua đường, người lái xe cần sử dụng đèn như thế nào?",Người điều khiển phương tiện nên điều chỉnh đèn ra sao khi gặp người sang đường?,"Trong tình huống gặp người đi bộ, việc sử dụng đèn chiếu sáng cần tuân thủ quy định gì?","Khi có người băng qua đường, tài xế cần làm gì với hệ thống đèn xe để đảm bảo an toàn?",20,2,"Khi gặp người đi bộ qua đường, người lái xe phải tắt đèn chiếu xa và bật đèn chiếu gần để không gây chói mắt, đảm bảo an toàn cho người qua đường."
Người lái xe cần sử dụng đèn ra sao khi đi qua khu vực đông dân cư vào ban đêm?,"Khi lái xe trong khu vực dân cư có đèn đường hoạt động, tài xế nên dùng đèn thế nào?","Trong khu đông dân cư, người lái xe cần điều chỉnh đèn ra sao để không gây ảnh hưởng đến người khác?",Có quy định gì về việc sử dụng đèn khi di chuyển qua các khu dân cư có hệ thống chiếu sáng?,20,2,"Khi đi qua khu vực đông dân cư có hệ thống chiếu sáng đang hoạt động, người điều khiển phương tiện phải tắt đèn chiếu xa và sử dụng đèn chiếu gần để tránh gây lóa cho người khác."
"Khi vi phạm giao thông, điểm trên giấy phép lái xe bị trừ như thế nào?",Mức điểm bị trừ khi vi phạm giao thông được tính ra sao?,Người vi phạm giao thông sẽ bị trừ bao nhiêu điểm?,Điểm trên giấy phép lái xe bị giảm như thế nào khi vi phạm?,58,4,"Số điểm trừ mỗi lần vi phạm tùy thuộc vào tính chất, mức độ của hành vi vi phạm. Dữ liệu về điểm trừ sẽ được cập nhật ngay sau khi quyết định xử phạt có hiệu lực và người vi phạm sẽ được thông báo."
Khi nào giấy phép lái xe được phục hồi đủ 12 điểm?,Bao lâu thì người lái xe được khôi phục toàn bộ điểm trên giấy phép?,Điều kiện để phục hồi đủ điểm giấy phép lái xe là gì?,Làm sao để được hoàn lại 12 điểm trên giấy phép lái xe?,58,4,"Nếu giấy phép lái xe chưa bị trừ hết điểm và không bị trừ điểm nào trong vòng 12 tháng kể từ lần trừ điểm gần nhất, người lái xe sẽ được phục hồi đủ 12 điểm."
